2017.08.21,7170,3.74%
2017.08.18,7660,3.84%
2017.08.17,7850,3.77%
2017.08.16,7330,4.28%
2017.08.14,7050,3.79%
2017.08.11,7290,3.67%
2017.08.10,6640,4.15%
2017.08.09,6000,4.07%
2017.08.08,6480,4.61%
2017.08.07,6360,4.03%
2017.08.04,6270,4.03%
2017.08.03,6040,3.96%
2017.08.02,5400,4.13%
2017.08.01,5220,4.16%
2017.07.31,5160,4.98%
2017.07.28,5120,5.00%
2017.07.27,5200,5.23%
2017.07.26,5120,5.82%
2017.07.25,5040,5.70%
2017.07.24,5110,5.62%
2017.07.21,5110,5.51%
2017.07.20,5260,5.22%
2017.07.19,5360,5.44%
2017.07.18,5300,5.29%
2017.07.17,5530,5.41%
2017.07.14,5420,5.44%
2017.07.13,5600,6.31%
2017.07.12,5390,6.23%
2017.07.11,5490,7.34%
2017.07.10,5590,6.50%
2017.07.07,5700,6.89%
2017.07.06,5700,6.88%
2017.07.05,5600,7.51%
2017.07.04,4800,7.20%
2017.07.03,4970,6.99%
2017.06.30,5100,6.98%
2017.06.29,5140,6.96%
2017.06.28,5050,6.85%
2017.06.27,5160,6.80%
2017.06.26,5170,7.01%
2017.06.23,5070,7.15%
2017.06.22,5030,7.13%
2017.06.21,4895,7.04%
2017.06.20,5000,6.95%
2017.06.19,5160,7.07%
2017.06.16,5100,6.92%
2017.06.15,5070,6.91%
2017.06.14,4930,6.32%
2017.06.13,4875,6.08%
2017.06.12,4770,5.85%
2017.06.09,4920,5.82%
2017.06.08,5040,6.00%
2017.06.07,4910,6.03%
2017.06.05,4900,6.01%
2017.06.02,4975,6.12%
2017.06.01,4930,6.17%
2017.05.31,4895,6.03%
2017.05.30,4920,5.92%
2017.05.29,5030,5.70%
2017.05.26,5080,5.72%
2017.05.25,5080,5.48%
2017.05.24,5180,5.25%
2017.05.23,5240,5.47%
2017.05.22,5250,5.32%
2017.05.19,5100,5.93%
2017.05.18,5020,5.52%
2017.05.17,5090,5.19%
2017.05.16,5280,5.11%
2017.05.15,5460,5.22%
2017.05.12,5540,5.46%
2017.05.11,5840,5.32%
2017.05.10,5320,5.73%
2017.05.08,5380,5.98%
2017.05.04,4790,5.43%
2017.05.02,4725,5.41%
2017.04.28,4660,5.42%
2017.04.27,4705,5.40%
2017.04.26,4785,5.40%
2017.04.25,4840,5.38%
2017.04.24,4830,5.35%
2017.04.21,4790,5.29%
2017.04.20,4780,5.30%
2017.04.19,4855,5.27%
2017.04.18,4920,5.32%
2017.04.17,5030,5.28%
2017.04.14,4960,5.29%
2017.04.13,4985,5.51%
2017.04.12,4640,5.78%
2017.04.11,4840,5.88%
2017.04.10,4900,5.82%
2017.04.07,4645,6.27%
2017.04.06,4615,6.26%
2017.04.05,4545,6.25%
2017.04.04,4560,6.33%
2017.04.03,4555,6.37%
2017.03.31,4460,6.36%
2017.03.30,4530,6.36%
2017.03.29,4450,6.36%
2017.03.28,4570,6.36%
2017.03.27,4595,6.38%
2017.03.24,4610,6.41%
2017.03.23,4500,6.42%
2017.03.22,4580,6.44%
2017.03.21,4580,6.44%
2017.03.20,4565,6.42%
2017.03.17,4600,6.41%
2017.03.16,4610,6.43%
2017.03.15,4570,6.35%
2017.03.14,4540,6.23%
2017.03.13,4500,6.22%
2017.03.10,4375,6.16%
2017.03.09,4375,6.03%
2017.03.08,4370,6.05%
2017.03.07,4390,6.10%
2017.03.06,4400,6.13%
2017.03.03,4480,6.14%
2017.03.02,4590,6.17%
2017.02.28,4520,6.15%
2017.02.27,4500,5.95%
2017.02.24,4465,5.98%
2017.02.23,4445,5.98%
2017.02.22,4460,6.00%
2017.02.21,4440,6.02%
2017.02.20,4470,6.05%
2017.02.17,4485,6.09%
2017.02.16,4500,6.10%
2017.02.15,4490,6.10%
2017.02.14,4500,6.10%
2017.02.13,4580,6.13%
2017.02.10,4605,6.13%
2017.02.09,4590,6.09%
2017.02.08,4510,6.01%
2017.02.07,4535,5.98%
2017.02.06,4540,5.99%
2017.02.03,4495,5.99%
2017.02.02,4460,5.88%
2017.02.01,4520,5.92%
2017.01.31,4485,5.93%
2017.01.26,4430,5.96%
2017.01.25,4350,5.97%
2017.01.24,4335,5.97%
2017.01.23,4490,5.98%
2017.01.20,4540,6.00%
2017.01.19,4600,6.04%
2017.01.18,4580,6.07%
2017.01.17,4575,6.09%
2017.01.16,4520,6.08%
2017.01.13,4530,6.08%
2017.01.12,4530,6.10%
2017.01.11,4615,6.13%
2017.01.10,4600,6.12%
2017.01.09,4530,6.10%
2017.01.06,4515,6.07%
2017.01.05,4555,6.09%
2017.01.04,4575,6.12%
2017.01.03,4495,6.13%
2017.01.02,4405,6.11%
2016.12.29,4385,6.08%
2016.12.28,4405,6.06%
